VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8C3-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-CCI_8C3-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),12.0
C1-CCI_8C3-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),1.3200000000000003
C1-CCI_8C3-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),1.08
C1-CCI_8C3-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),113.0
C1-CCI_8C3-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),11.080000000000002
C1-CCI_8C3-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),8.76
C1-CCI_8C3-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),136.0
C1-CCI_8C3-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),14.92
C1-CCI_8C3-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),47.52
C1-CCI_8C3-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),4.0
C1-CCI_8C3-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.52
C1-CCI_8C3-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),97.48
C1-CCI_8C3-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),20.0
C1-CCI_8C3-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),1.5600000000000003
C1-CCI_8C3-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),1.72
C1-CCI_8C3-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),31.0
C1-CCI_8C3-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),2.6400000000000006
C1-CCI_8C3-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),11.92
C1-CCI_8C3-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),123.0
C1-CCI_8C3-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),14.080000000000002
