VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8B3-5,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8B3-5,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.0
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),1.1424343944281283
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.56
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.18190476190476193
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),42.0
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),3.37023168522462
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),7.640000000000001
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),1.0158500130948482
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),2.88
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.2604651162790697
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),129.0
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),33.73554232636067
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),33.599999999999994
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),1.458930264524422
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),11.08
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.23448275862068965
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),87.0
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),11.614361407588039
C1-CCI_8B4-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),20.4
C1-CCI_8B4-0,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),
C1-CCI_8B4-0,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),
C1-CCI_8B4-0,Animal_1,Tail_base,Top_half,rectangle,MEAN ROI BOUT TIME (S),
C1-CCI_8B4-0,Animal_1,Tail_base,Top_half,rectangle,ROI ENTRIES (COUNTS),0.0
C1-CCI_8B4-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8B4-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.0
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),0.05684692077149661
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),20.4
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.327741935483871
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),62.0
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),0.6145360663177148
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),20.32
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),0.46263173270518054
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),6.32
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.33999999999999997
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),28.0
C1-CCI_8B4-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),2.6920176875965596
